doi,q1_climate_neutrality,q1_comment,q2_comment,q2_region,q3_comment,q3_sector,q3_sector_comment,q4_comment,q4_method
10.13226/j.issn.1006-6772.CC22021701,no,This is a review of policies and technologies; it discusses pathways toward carbon neutrality but does not present an assessed or modeled climate-neutral pathway/system configuration.,,yes,,yes,,"This is a qualitative systematic review of policies and technologies, not a quantitative modeling or scenario analysis study.",no
10.1016/j.apenergy.2023.122212,no,,,yes,,yes,,,no
10.1016/j.jclepro.2020.120420,no,Abstract quantifies carbon storage and sequestration but does not present a climate-neutral pathway or system configuration. Carbon sequestered covers only 0.61% of traffic emissions.,,yes,,yes,,,yes
10.3390/f15081292,no,,,yes,,yes,,,yes
10.1117/12.3044690,no,,,yes,,yes,,"Quantitative modeling present (ARIMA, XGBoost), but used for emission forecasting, not for generating climate-neutral pathways.",no
10.1016/j.resconrec.2025.108671,no,"While the abstract discusses net-zero as a goal and models hydrogen-based fuels, the results show that even with fully renewable hydrogen, 18-31% of GHG emissions remain—falling short of climate neutrality.","The abstract discusses international shipping broadly but names no specific spatial region (country, city, state, etc.).",no,,yes,,,yes
10.1139/cjfr-2014-0120,no,,"Title mentions 'Norway spruce stands' (a tree species), but no explicit geographic location is stated in the abstract.",unclear,,yes,,,yes
10.1016/j.jclepro.2021.128408,yes,,,yes,,yes,,,yes
10.3389/fenvs.2024.1379046,no,,,yes,,yes,,,yes
10.1007/978-3-031-92221-3,no,,,no,,yes,,,no
10.1007/s10311-022-01435-8,no,,,no,,yes,,,no
10.1016/j.tej.2021.107004,yes,,,yes,,yes,,,yes
10.1016/j.ecolind.2024.112580,no,,,yes,,no,,,no
10.13226/j.issn.1006-6772.GG24031701,no,"The abstract mentions carbon neutrality as context/vision but is a review of existing technologies, not a study that assesses/models a specific climate-neutral pathway or configuration.",,yes,,yes,,"This is a review article discussing existing technologies and their application status, not original quantitative modeling or scenario analysis.",no
10.13254/j.jare.2024.0498,no,,,yes,,yes,,,no
10.1016/j.jclepro.2024.141707,no,"Carbon neutrality is mentioned only as a time reference ('time base'), not as an assessed or modeled pathway. The study assesses biomass energy potential (2-7% fossil fuel substitution), which does not constitute a climate-neutral system configuration.",,yes,,yes,,"Quantitative modeling (FLUS model) and scenarios are present, but designed to assess biomass energy potential under general development scenarios, not specifically to generate climate-neutral pathways.",no
10.1016/j.esr.2020.100510,yes,,,yes,,yes,,,yes
10.1007/s10584-023-03506-3,no,,,yes,,yes,,Paper applies a governance framework and case study approach but does not mention quantitative modeling or scenario analysis.,no
10.3390/land14122442,yes,,,yes,,yes,,,yes
10.3390/en15238886,unclear,"Abstract discusses modeled carbon emission pathways and scenarios, but does not explicitly state that the pathways achieve climate neutrality or carbon neutrality targets.",,yes,,yes,,,yes
10.1016/j.indic.2023.100323,no,,,yes,,yes,,"The abstract includes quantitative modeling (ARDL model) but uses it for retrospective emissions analysis (1970-2020), not to generate climate-neutral pathways or scenarios.",no
10.1016/j.jenvman.2021.113242,no,"While the abstract suggests switching to bioenergy as a pathway to carbon neutrality, it does not actually assess or model a complete climate-neutral pathway or system configuration. The modeling analyzes relationships between variables, not the viability of achieving climate neutrality.",,yes,,yes,,,yes
10.3390/en14154445,yes,,,yes,,yes,,,yes
10.13733/j.jcam.issn.2095-5553.2025.08.038,no,,,yes,,yes,,,yes
10.1016/j.landusepol.2025.107563,no,This is an editorial/synthesis paper describing other papers' work. It mentions carbon neutrality scenarios and pathways from featured papers but does not itself present a specific climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.63044/s25aco65,no,"The abstract proposes a framework for characterizing residential energy consumption and enabling demand response aligned with renewables, but does not present an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1016/j.foreco.2016.07.015,yes,,,yes,,yes,,,yes
10.1016/j.eiar.2024.107689,no,,,yes,,yes,,,yes
10.1007/978-981-97-5098-6_108,no,The paper assesses risks in supply chains under climate neutrality goals but does not present or model an actual climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.1080/27658511.2022.2062824,no,"The abstract discusses carbon neutrality goals and proposes measures (clean energy, hydrogen, carbon storage, etc.), but does not present or assess a specific climate-neutral pathway or system configuration through modeling.",,yes,,yes,,"The abstract describes conceptual goals, measures, and policy recommendations without explicit reference to quantitative modeling or scenario analysis.",no
10.1111/gcbb.12014,no,,,yes,,yes,,,yes
10.1007/s13280-023-01860-1,yes,,,yes,,yes,,,yes
10.1515/geo-2025-0872,no,"Abstract discusses carbon neutrality as a goal and evaluates efficiency improvements, but does not demonstrate or model an actual climate-neutral pathway or system configuration.",,yes,,yes,,"While SBM-DEA and spatial analysis are quantitative methods, they are used to evaluate agricultural efficiency and identify drivers, not to generate climate-neutral pathways or scenarios.",no
10.11975/j.issn.1002-6819.2022.01.026,no,Abstract reviews low-carbon strategies and makes qualitative recommendations but does not provide an assessed/modeled pathway that IS climate-neutral.,,yes,,yes,,This is a systematic review that discusses the global livestock environmental assessment model but does not present quantitative modeling or scenario analysis to generate climate-neutral pathways. Recommendations are qualitative.,no
10.1016/j.jenvman.2025.126617,no,,,yes,,yes,,,yes
10.1016/j.egyr.2025.11.021,yes,,,yes,,yes,,,yes
10.3390/su162310526,no,,,yes,,no,,,no
10.1016/j.envsoft.2025.106473,no,,,yes,,yes,,,yes
10.1016/j.esr.2023.101261,no,The abstract estimates the scope of tasks needed to achieve carbon neutrality but does not present an actual climate-neutral pathway or system configuration. It focuses on what must be done rather than a concrete climate-neutral solution.,,yes,,yes,,,yes
10.1399/NuL.2022.01.02.e,no,,,yes,,yes,,"Literature-based review that analyzes CO2 sink performance and wood reserves in Germany, but doesn't explicitly describe quantitative modeling or scenario processes.",unclear
10.3992/1943-4618.13.1.139,no,,,yes,,yes,,,no
10.3390/su142113979,no,,,yes,,yes,,,no
10.1109/CEEPE64987.2025.11034183,no,,,no,,yes,,,yes
10.1038/s41467-024-45314-y,yes,,,yes,,yes,,,yes
10.1016/j.jenvman.2024.120036,yes,,,yes,,yes,,,yes
10.1088/1748-9326/ad83e3,no,,,yes,,yes,,,yes
10.1016/j.petsci.2023.01.013,yes,,,yes,,yes,,,yes
10.1007/s44246-025-00218-4,no,,,yes,,yes,,,yes
10.1016/j.energy.2023.127543,no,,,yes,,yes,,,yes
10.1109/ACCESS.2026.3659532,no,,,yes,,yes,,,yes
10.1088/2515-7620/adfc30,no,The abstract assesses renewable energy potential for electricity generation but does not provide a complete climate-neutral pathway addressing all emission sources. Mentioning net-zero as a goal without modeling a full system configuration is insufficient.,,yes,,yes,,,yes
10.1007/s10098-025-03127-7,no,,,yes,,yes,,,yes
10.1016/j.landusepol.2024.107159,yes,,,yes,,yes,,,yes
10.1016/j.jenvman.2021.113058,yes,,,yes,,yes,,,yes
10.1088/1755-1315/401/1/012013,no,,,no,,yes,,,yes
10.52152/3973,no,,,yes,,yes,,,yes
10.1007/s44246-024-00140-1,no,,,yes,,yes,,,yes
10.1016/j.esd.2024.101511,no,,,yes,,yes,,,no
10.1016/j.egycc.2024.100160,yes,,,yes,,yes,,,yes
10.1177/09749101251391923,no,,,yes,,yes,,"Abstract mentions survey data and proposes a collaborative model, but does not explicitly describe quantitative modeling or scenario analysis methods for generating climate-neutral pathways.",unclear
10.3390/ijerph192315478,no,The abstract evaluates agricultural eco-efficiency in relation to China's carbon neutrality targets but does not propose or assess an actual climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.1016/j.eneco.2022.106397,no,"The abstract examines relationships with carbon neutrality goals but does not provide or assess an actual climate-neutral pathway or system configuration. It is a correlational study, not a pathway assessment.",,yes,,yes,,,yes
10.18288/1994-5124-2022-5-54-77,no,,,yes,,yes,,,no
10.1016/j.landusepol.2014.09.009,yes,,,yes,,yes,,,yes
10.1016/j.ijhydene.2025.151791,yes,,,yes,,yes,,,yes
10.13227/j.hjkx.202311098,no,,,yes,,yes,,,yes
10.1115/GT2025-151612,no,,,no,,yes,,,no
10.1016/j.jclepro.2022.135534,yes,,,yes,,yes,,,yes
10.1109/APACE62360.2024.10877397,yes,,,yes,,yes,,,yes
10.1109/ICT-PEP67281.2025.11232373,no,,,yes,,yes,,,yes
10.1080/17538947.2026.2639803,no,,,yes,"The abstract describes a general emissions monitoring system across China. While it mentions industrial/urban areas and energy-related patterns (heating/cooling), the study targets broad emissions measurement rather than specific sector focus.",unclear,,,no
10.1007/s10668-025-06289-y,no,,,yes,,yes,,,no
10.1111/gcbb.12193,no,"Study demonstrates partial carbon offsets (78% nationally over 50 years), not a climate-neutral pathway. Emissions reductions from wood energy displaced by coal/gas are analyzed, but net emissions remain positive.",,yes,,yes,,,yes
10.3390/su17031005,no,,,yes,,yes,,"Uses quantitative modeling to estimate current carbon emissions and compensation, but not to generate climate-neutral pathways or scenarios.",no
10.1016/j.jclepro.2023.137840,yes,,,yes,,yes,,,yes
10.1016/j.egycc.2025.100219,no,,,yes,,yes,,"Quantitative methods (logistic regression, emissions quantification) are used to analyze current practices and adoption determinants, not to generate climate-neutral pathways or scenarios.",no
10.1016/j.eneco.2025.108962,no,,,yes,,yes,,,yes
10.2478/rtuect-2025-0043,no,,,yes,,yes,,,yes
10.1038/s41467-024-49502-8,yes,,,no,,yes,,,yes
10.1016/j.energy.2024.133010,yes,,,yes,,yes,,,yes
10.1080/14693062.2024.2438300,yes,,,yes,,yes,,,yes
10.1016/j.envres.2023.116286,no,,,yes,,yes,,,yes
10.1016/j.eneco.2023.107244,yes,,,yes,,yes,,,yes
10.3390/cli12020015,no,The abstract discusses potential technologies and pathways toward net zero but does not present an actual assessed or modeled climate-neutral system configuration.,,yes,,yes,,"The abstract discusses and examines various technological applications (AI, Big Data, predictive analytics) but does not describe quantitative modeling or scenario processes developed within the paper itself.",no
10.3390/en19041067,no,,,yes,,yes,,,no
10.1007/978-3-032-18708-6_64,yes,,,yes,,yes,,,yes
10.1109/ECODIM.1999.747652,no,,,yes,,yes,,,no
10.1109/EEM64765.2025.11050135,yes,,,yes,,yes,,,yes
10.1111/gcbb.12950,no,,,yes,,yes,,,yes
10.1016/j.biteb.2025.102248,no,"The abstract measures carbon emissions and suggests reduction solutions, but does not describe an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.54337/ijsepm.8280,yes,,,yes,,yes,,,yes
10.13227/j.hjkx.202112065,no,,,yes,,yes,,Paper presents comparative analysis with quantitative metrics but does not describe quantitative modeling or scenario processes to generate climate-neutral pathways.,no
10.1016/j.ecofro.2026.01.010,no,"The abstract proposes an assessment framework for evaluating existing rural carbon neutrality development, rather than providing a pathway or system configuration that IS climate-neutral.",,yes,,yes,,"The quantitative method (index system) is used to assess current rural carbon neutrality development status, not to model or generate climate-neutral pathways through scenario analysis.",no
10.1002/ese3.1422,yes,,,yes,,yes,,,yes
10.1007/s43762-024-00139-9,no,,"A single unnamed city is studied; no specific city, country, or region is identified in the abstract.",unclear,,yes,,,no
10.3390/en16083473,yes,,,yes,,yes,,,yes
10.3390/ijerph19116499,no,,,yes,,yes,,,no
10.1016/j.apenergy.2025.125865,no,,,yes,,yes,,,no
10.1007/s10311-022-01544-4,no,,,yes,,yes,,"Abstract is a review discussing quantitative methods (LCA, carbon models) but doesn't explicitly present new modeling to generate pathways.",unclear
10.12357/cjea.20210607,no,"While climate neutrality is mentioned as a contextual goal, the study measures and analyzes existing agricultural carbon emission efficiency using network analysis. It does not propose or model an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1016/j.iref.2025.103964,no,,,yes,,yes,,,yes
10.13227/j.hjkx.202502070,yes,,,yes,,yes,,,yes
10.1007/978-3-031-69457-8_66,no,,,yes,,yes,,,no
10.1016/j.esr.2020.100578,yes,,,yes,,yes,,,yes
10.3389/fevo.2022.941520,no,,,yes,,yes,,,yes
10.1016/j.resourpol.2023.104183,no,"The abstract evaluates how carbon trading policies affect carbon efficiency, but does not describe or assess an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1073/pnas.2204098120,yes,,,yes,,yes,,,yes
10.21552/cclr/2021/1/10,no,,,yes,,yes,,The abstract mentions 'analysis' of state mechanisms but does not explicitly describe quantitative modeling or scenario processes to generate climate neutral pathways.,unclear
10.1007/978-3-031-74716-8_3,no,,,yes,,yes,,,yes
10.1039/d4se01183j,no,,,yes,,yes,,,yes
10.1080/20426445.2020.1730047,no,,,yes,,yes,,,no
10.18494/SAM5378,no,"The abstract analyzes current carbon emissions and sinks in Beijing, but does not present a pathway or configuration that IS climate-neutral. It shows vegetation carbon absorption is lower than energy emissions, not a climate-neutral system.",,yes,,yes,,"C-FIX model is applied, but it is used for descriptive analysis of historical emissions (2010-2020), not to generate or model climate-neutral pathways or scenarios.",no
10.1016/j.scib.2023.11.016,no,"Study reports carbon budgets and that two regions have achieved carbon neutrality, but does not provide a pathway or system configuration for achieving climate neutrality.",,yes,,yes,,,yes
10.1007/s44246-025-00243-3,no,,,yes,,yes,,,yes
10.1016/j.gloenvcha.2022.102530,no,,,no,,yes,,,no
10.1016/j.biombioe.2021.106164,yes,,,yes,,yes,,,yes
10.1021/acs.est.5c08703,yes,,"The model assesses transitions 'globally and regionally' with regional differentiation, but no specific country, region, or area is named.",unclear,,yes,,,yes
10.1017/9781316389553.013,yes,,,yes,,yes,,,yes
10.31497/zrzyxb.20230308,no,,,yes,,yes,,,no
10.1111/gcbb.12198,no,The abstract assesses timeframes to reach carbon parity/repayment (91-112 years for stemwood) but does not claim an implemented climate-neutral pathway or system.,,yes,,yes,,,yes
10.1007/s10661-025-14559-5,no,"The abstract measures carbon sequestration potential and contributions to carbon mitigation, but does not present an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1007/s12155-013-9372-x,yes,,,yes,,yes,,,yes
10.2478/rtuect-2021-0021,no,"Abstract mentions net-zero targets but uses only qualitative SWOT analysis, not quantitative modeling of a climate-neutral pathway.",,yes,,yes,,"Methodology is sustainability SWOT analysis, which is qualitative; no quantitative modeling or scenario process described.",no
10.3389/fbuil.2025.1681714,yes,,,no,,yes,,,yes
10.1021/acs.est.3c00644,yes,,,no,,yes,,,yes
10.1021/acs.est.2c04784,yes,,,yes,,yes,,,yes
10.1002/bbb.70106,no,,,no,,yes,,,no
10.1016/j.energy.2024.134075,yes,,,yes,,yes,,,yes
10.1016/j.joule.2019.12.018,unclear,"Abstract describes 'net zero energy' greenhouses via solar, but doesn't explicitly assess carbon/climate neutrality or emissions reductions.",,yes,,yes,,,yes
10.1108/PRR-12-2021-0066,no,,,yes,,yes,,,no
10.1007/s10661-024-13311-9,no,,,yes,,yes,,,no
10.3390/f13030407,unclear,"The abstract models the carbon sequestration capacity and spatial service range of the Qinling Mountains (175-262.63 km), but doesn't explicitly demonstrate that any pathway or system configuration achieves climate neutrality. It quantifies carbon sink potential rather than confirming a climate-neutral outcome.",,yes,,yes,,,yes
10.1002/ldr.5409,no,,,yes,,yes,,"Quantitative modeling (GWR/MGWR) is used to analyze land reallocation drivers, not to generate climate-neutral pathways or systems.",no
10.1007/978-981-96-1812-5_7,no,,,yes,,yes,,,no
10.3390/su17083635,yes,,,yes,,yes,,,yes
10.1016/j.apenergy.2023.121115,no,,,yes,,yes,,,yes
10.1016/j.spc.2025.03.012,no,,,yes,,yes,,,yes
10.69650/rast.2024.258766,no,,,yes,,yes,,,yes
10.1088/1748-9326/adcb56,no,,,yes,,yes,,,yes
10.1016/j.energy.2022.125834,no,"The abstract describes a pathway that 'gradually approach[es] zero carbon emissions' with 91% reduction, but explicitly acknowledges that achieving full carbon neutrality faces barriers (e.g., agricultural vehicle diesel consumption), meaning the pathway does not deliver actual climate-neutrality.",,yes,,yes,,,yes
